Species,Predator,IUCN_Red_List_status,Accused_by_IUCN_Red_List,Reference,Reference_ID,Cat_EPBC_threat_rating,Fox_EPBC_threat_rating_if_no_cat,Threat_rating_standardized,Latitude,Longitude,evidence_cat,evidence_fine_scale,direction,Is_there_predator_population_data,Is_there_prey_population_data,Control_site_or_spatial_variation,Confounders_or_alternatives,Sample_size_greater_than_1,Sample_size,BACI
Lagorchestes hirsutus,Fox,VU,1,"Lundie-Jenkins, G., Corbett, L.K., Phillips, C.M. 1993. Ecology of the rufous hare-wallaby, Lagorchestes hirsutus Gould (Marsupialia : Macropodidae) in the Tanami Desert, Northern Territory. III Interactions with introduced mammal species. Wildlife Research, 20(4), pp 495-511.",Lundie-Jenkins et al 1993 Wildlife Research,Extreme,,Extreme,-20.21,131.54,Predation,Diet,1,no,no,,,,,
Lagorchestes hirsutus,Fox,VU,1,"Gibson, D.F., Lundie-Jenkins, G., Langford, D.G., Cole, J.R. and Johnson, K.A., 1994. Predation by feral cats, Felis catus, on the rufous hare-wallaby, Lagorchestes hirsutus, in the Tanami Desert. Australian Mammalogy, 17(1), pp.103-107.",Gibson et al 1994 Australian Mammalogy,Extreme,,Extreme,-20.21,131.54,Predation,Hunted_reintroduced,0,no,no,,,,,
Lagorchestes hirsutus,Fox,VU,1,"Lundie-Jenkins, G., Corbett, L.K., Phillips, C.M. 1993. Ecology of the rufous hare-wallaby, Lagorchestes hirsutus Gould (Marsupialia : Macropodidae) in the Tanami Desert, Northern Territory. III Interactions with introduced mammal species. Wildlife Research, 20(4), pp 495-511.",Lundie-Jenkins et al 1993 Wildlife Research,Extreme,,Extreme,-20.21,131.54,Population,Timing,1,no,yes,,,,,
Lagostrophus fasciatus,Cat,VU,1,"Hardman, B., Moro, D. and Calver, M., 2016. Direct evidence implicates feral cat predation as the primary cause of failure of a mammal reintroduction programme. Ecological Management & Restoration, 17(2), pp.152-158.",Hardman et al 2016 Ecological Management and Restoration,Moderate,,Moderate,-25.44,113.32,Predation,Hunted_reintroduced,1,no,no,,,,,
Lagostrophus fasciatus,Fox,VU,1,,,,,Moderate,,,,,,,,,,,,
Leporillus conditor,Cat,NT,1,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",Copley 1999 Wildlife Research,Moderate,,Moderate,-34.5,139.87,Predation,Hunted_reintroduced,1,no,no,,,,,
Leporillus conditor,Fox,NT,1,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",Copley 1999 Wildlife Research,Moderate,,Moderate,-34.5,139.87,Predation,Hunted_reintroduced,1,no,no,,,,,
Leporillus conditor,Fox,NT,1,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",Copley 1999 Wildlife Research,Moderate,,Moderate,-34.5,139.87,Population,Timing,0,no,no,,,,,
Macropus parma,Cat,NT,0,"Short, J., Bradshaw, S.D., Giles, J., Prince, R.I.T. and Wilson, G.R., 1992. Reintroduction of macropods (Marsupialia: Macropodoidea) in Australia—a review. Biological Conservation, 62(3), pp.189-204.",Short et al 1992 Biological Conservation,Moderate,,Moderate,-33.0976,151.59,Predation,Hunted_reintroduced,0,no,no,,,,,
Macropus parma,Fox,NT,1,"Glen, A.S., Pennay, M., Dickman, C.R., Wintle, B.A. and Firestone, K.B., 2011. Diets of sympatric native and introduced carnivores in the Barrington Tops, eastern Australia. Austral Ecology, 36(3), pp.290-296.",Glen et al 2011 Austral Ecology,N/A,,N/A,-32.06,151.66,Predation,Diet,1,no,no,,,,,
Macropus parma,Fox,NT,1,"Glen, A.S., Pennay, M., Dickman, C.R., Wintle, B.A. and Firestone, K.B., 2011. Diets of sympatric native and introduced carnivores in the Barrington Tops, eastern Australia. Austral Ecology, 36(3), pp.290-296.",Glen et al 2011 Austral Ecology,N/A,,N/A,-34.58,150.58,Predation,Hunted_reintroduced,1,no,no,,,,,
Macropus parma,Fox,NT,1,"Short, J., Bradshaw, S.D., Giles, J., Prince, R.I.T. and Wilson, G.R., 1992. Reintroduction of macropods (Marsupialia: Macropodoidea) in Australia—a review. Biological Conservation, 62(3), pp.189-204.",Short et al 1992 Biological Conservation,N/A,,N/A,-34.58,150.58,Predation,Hunted_reintroduced,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Murphy, B.P., Woolley, L.A., Geyle, H.M., Legge, S.M., Palmer, R., Dickman, C.R., Augusteyn, J., Brown, S.C., Comer, S., Doherty, T.S. and Eager, C., 2019. Introduced cats (Felis catus) eating a continental fauna: the number of mammals killed in Australia. Biological Conservation, 237, pp.28-40.",Murphy et al 2019 Biological Conservation,Very high/Extreme,,Very high/Extreme,,,Predation,Diet,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Paltridge, R., 2002. The diets of cats, foxes and dingoes in relation to prey availability in the Tanami Desert, Northern Territory. Wildlife Research, 29(4), pp.389-403.",Paltridge 2002 Wildlife Research,Very high/Extreme,,Very high/Extreme,-20,130,Predation,Diet,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Wysong, M.L., 2016. Predator ecology in the arid rangelands of Western Australia: spatial interactions and resource competition between an apex predator, the dingo Canis dingo, and an introduced mesopredator, the feral cat Felis catus. PhD thesis, University of Western Australia, Perth.",Wysong 2016 Thesis University of Western Australia,Very high/Extreme,,Very high/Extreme,-26.1986,121.3598,Predation,Diet,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Lohr, C.A., Dziminski, M., Dunlop, J., Miller, E. and Morris, K., 2021. Reintroduction of bilbies (Macrotis lagotis) to Matuwa, an Indigenous Protected Area in Western Australia. Rangeland Ecology & Management, 78, pp.67-78.",Lohr et al 2021 Rangeland Ecology & Management,Very high/Extreme,,Very high/Extreme,-26.1986,121.3598,Predation,Hunted_reintroduced,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Moseby, K.E., Cameron, A. and Crisp, H.A., 2012. Can predator avoidance training improve reintroduction outcomes for the greater bilby in arid Australia?. Animal Behaviour, 83(4), pp.1011-1021.",Moseby et al 2012 Animal Behavior,Very high/Extreme,,Very high/Extreme,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Moseby et al 2019 Austral Ecology,Very high/Extreme,,Very high/Extreme,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Moseby, K.E., Peacock, D.E. and Read, J.L., 2015. Catastrophic cat predation: a call for predator profiling in wildlife protection programs. Biological Conservation, 191, pp.331-340.",Moseby et al 2015 Biological Conservation,Very high/Extreme,,Very high/Extreme,-30.29,136.53,Predation,Hunted_reintroduced,0,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Moseby, K.E., Read, J.L., Paton, D.C., Copley, P., Hill, B.M. and Crisp, H.A., 2011. Predation determines the outcome of 10 reintroduction attempts in arid South Australia. Biological Conservation, 144(12), pp.2863-2872.",Moseby et al 2011 Biological Conservation,Very high/Extreme,,Very high/Extreme,-30.29,136.53,Predation,Hunted_reintroduced,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Moseby, K.E., Read, J.L., Paton, D.C., Copley, P., Hill, B.M. and Crisp, H.A., 2011. Predation determines the outcome of 10 reintroduction attempts in arid South Australia. Biological Conservation, 144(12), pp.2863-2872.",Moseby et al 2011 Biological Conservation,Very high/Extreme,,Very high/Extreme,-30.29,136.53,Population,Exclusion,1,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Richards, J.D., 2012. Western Barred Bandicoot, Burrowing Bettong and Banded Hare-wallaby Recovery Team, Department of Environment and Conservation (Western Australia), and the Australian Government Department of Sustainability, Environment, Water, Population and Communities.","Richards 2012 Department of Environment and Conservation (Western Australia), and the Australian Government Department of Sustainability, Environment, Water, Population and Communities",Very high/Extreme,,Very high/Extreme,-25.44,113.32,Population,Exclusion,0,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Moseby, K.E., Letnic, M., Blumstein, D.T. and West, R., 2019. Understanding predator densities for successful co‐existence of alien predators and threatened prey. Austral Ecology, 44(3), pp.409-419.",Moseby et al 2019 Austral Ecology,Very high/Extreme,,Very high/Extreme,-30.29,136.53,Population,Temporal,0,yes,yes,no,yes,no,,no
Macrotis lagotis,Cat,VU,1,"Southgate, R., Paltridge, R., Masters, P. and Carthew, S., 2007. Bilby distribution and fire: a test of alternative models of habitat suitability in the Tanami Desert, Australia. Ecography, 30(6), pp.759-776.",Southgate et al 2007 Ecography,Very high/Extreme,,Very high/Extreme,-20,130,Population,Spatial,0,yes,yes,yes,yes,yes,207,no
Macrotis lagotis,Cat,VU,1,"Geyle, H.M., Schlesinger, C., Banks, S., Dixon, K., Murphy, B.P., Paltridge, R., Doolan, L., Herbert, M. and Dickman, C.R., 2024. Corrigendum to: Unravelling predator–prey interactions in response to planned fire: a case study from the Tanami Desert. Wildlife Research, 51(9), pp.NULL-NULL.",Geyle et al 2024 Wildlife Research,Very high/Extreme,,Very high/Extreme,-20,130,Population,Temporal,0,yes,yes,no,yes,no,,no
Macrotis lagotis,Cat,VU,1,"Moore, H.A., Gibson, L.A., Dziminski, M.A., Radford, I.J., Corey, B., Bettink, K., Carpenter, F.M., McPhail, R., Sonneman, T. and Greatwich, B., 2024. Where there’s smoke, there’s cats: long-unburnt habitat is crucial to mitigating the impacts of cats on the Ngarlgumirdi, greater bilby (Macrotis lagotis). Wildlife Research, 51(5).",Moore et al 2024 Wildlife Research,Very high/Extreme,,Very high/Extreme,-16.5197,122.9162,Population,Spatial,0,yes,yes,yes,yes,yes,,no
Macrotis lagotis,Cat,VU,1,"Paltridge, R., Ward, N.N., West, J.T. and Crossing, K., 2020. Is cat hunting by Indigenous tracking experts an effective way to reduce cat impacts on threatened species?. Wildlife Research, 47(8), pp.709-719.",Paltridge et al 2020 Wildlife Research,Very high/Extreme,,Very high/Extreme,-22.8161,127.7644,Predation,Hunted,0,no,no,,,,,
Macrotis lagotis,Cat,VU,1,"Paltridge, R., Ward, N.N., West, J.T. and Crossing, K., 2020. Is cat hunting by Indigenous tracking experts an effective way to reduce cat impacts on threatened species?. Wildlife Research, 47(8), pp.709-719.",Paltridge et al 2020 Wildlife Research,Very high/Extreme,,Very high/Extreme,-22.8161,127.7644,Population,Spatial,1,yes,yes,no,no,no,,no
Macrotis lagotis,Cat,VU,1,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Paltridge 2005 Thesis,Very high/Extreme,,Very high/Extreme,-19.2,132.6666667,Population,Temporal,0,yes,yes,no,no,no,,no
Macrotis lagotis,Cat,VU,1,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Paltridge 2005 Thesis,Very high/Extreme,,Very high/Extreme,-19.2,132.6666667,Predation,Hunted,1,no,no,,,,,
Macrotis lagotis,Fox,VU,1,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Paltridge 2005 Thesis,Extreme,,Extreme,-19.2,132.6666667,Population,Temporal,1,yes,yes,no,yes,no,,no
Macrotis lagotis,Fox,VU,1,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Paltridge 2005 Thesis,Extreme,,Extreme,-22.8764,126.5965,Predation,Hunted,1,no,no,,,,,
Macrotis lagotis,Fox,VU,1,"Paltridge, R.M., 2005. Predator-prey interactions in the spinifex grasslands of central Australia. PhD Thesis, University of Wollongong",Paltridge 2005 Thesis,Extreme,,Extreme,-19.2,132.6666667,Predation,Hunted,0,no,no,,,,,
Macrotis lagotis,Fox,VU,1,"Geyle, H.M., Schlesinger, C., Banks, S., Dixon, K., Murphy, B.P., Paltridge, R., Doolan, L., Herbert, M. and Dickman, C.R., 2024. Corrigendum to: Unravelling predator–prey interactions in response to planned fire: a case study from the Tanami Desert. Wildlife Research, 51(9), pp.NULL-NULL.",Geyle et al 2024 Wildlife Research,Extreme,,Extreme,-20,130,Population,Temporal,1,yes,yes,no,yes,no,,no
Macrotis lagotis,Fox,VU,1,"Lohr, C.A., Dziminski, M., Dunlop, J., Miller, E. and Morris, K., 2021. Reintroduction of bilbies (Macrotis lagotis) to Matuwa, an Indigenous Protected Area in Western Australia. Rangeland Ecology & Management, 78, pp.67-78.",Lohr et al 2021 Rangeland Ecology & Management,Extreme,,Extreme,-26.1986,121.3598,Predation,Hunted_reintroduced,0,no,no,,,,,
Macrotis lagotis,Fox,VU,1,"Abbott, I., 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. Records Western Australian Museum, 20(3), pp.271-306.",Abbott 2001 Records Western Australian Museum,Extreme,,Extreme,-34.37,116.28,Population,Timing,1,yes,yes,no,no,yes,36,no
Macrotis lagotis,Fox,VU,1,"Copley, P., 1999. Natural histories of Australia’s stick-nest rats, genus Leporillus (Rodentia: Muridae). Wildlife Research, 26(4), pp.513-539.",Copley 1999 Wildlife Research,Extreme,,Extreme,-34.5,139.87,Population,Timing,0,no,no,,,,,
Macrotis lagotis,Fox,VU,1,"Moseby, K.E., Read, J.L., Paton, D.C., Copley, P., Hill, B.M. and Crisp, H.A., 2011. Predation determines the outcome of 10 reintroduction attempts in arid South Australia. Biological Conservation, 144(12), pp.2863-2872.",Moseby et al 2011 Biological Conservation,Extreme,,Extreme,-30.29,136.53,Population,Exclusion,1,no,no,,,,,
Macrotis lagotis,Fox,VU,1,"Southgate, R., Paltridge, R., Masters, P. and Carthew, S., 2007. Bilby distribution and fire: a test of alternative models of habitat suitability in the Tanami Desert, Australia. Ecography, 30(6), pp.759-776.",Southgate et al 2007 Ecography,Extreme,,Extreme,-20,130,Population,Spatial,1,yes,yes,yes,yes,yes,207,no
Mastacomys fuscus,Cat,NT,1,"Doherty, T.S., Davis, R.A., van Etten, E.J., Algar, D., Collier, N., Dickman, C.R., Edwards, G., Masters, P., Palmer, R. and Robinson, S., 2015. A continental‐scale analysis of feral cat diet in Australia. Journal of Biogeography, 42(5), pp.964-975.",Doherty et al 2015 Journal of Biogeography,High,,High,,,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Brunner, H., Lloyd, J.W. and Coman, B.J., 1975. Fox scat analysis in a forest park in south-eastern Australia. Wildlife Research, 2(2), pp.147-154.",Brunner et al 1975 Wildlife Research,High,,High,-37.53,145.21,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Bubela, T.M. and Happold, D.C.D., 1993. The social organisation and mating system of an Australian subalpine rodent, the broad-toothed rat, Mastacomys fuscus Thomas. Wildlife Research, 20(4), pp.405-417.",Bubela and Happold 1993 Wildlife Research,High,,High,-36.4562,148.2632,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Davis, N.E., Forsyth, D.M., Triggs, B., Pascoe, C., Benshemesh, J., Robley, A., Lawrence, J., Ritchie, E.G., Nimmo, D.G. and Lumsden, L.F., 2015. Interspecific and geographic variation in the diets of sympatric carnivores: dingoes/wild dogs and red foxes in south-eastern Australia. PloS One, 10(3), p.e0120975.",Davies et al 2015 PloS One,High,,High,-37.65,143.25,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Dickman, C.R. and McKechnie, C.A., 1985. A survey of the mammals of Mount Royal and Barrington Tops, New South Wales. Australian Zoologist, 21(6), pp.531-544.",Dickman and McKechnie 1985 Australian Zoologist,High,,High,-32.06,151.66,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Green, K. and Osborne, W.S., 1981. The diet of foxes, Vulpes vulpes (L.), in relation to abundance of prey above the winter snowline in New South Wales. Wildlife Research, 8(2), pp.349-360.",Green and Osborne 1981 Wildlife Research,High,,High,-36.4562,148.2632,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Green, K., 2002. Selective predation on the broad‐toothed rat, Mastacomys fuscus (Rodentia: Muridae), by the introduced red fox, Vulpes vulpes (Carnivora: Canidae), in the Snowy Mountains, Australia. Austral Ecology, 27(4), pp.353-359.",Green 2002 Austral Ecology,High,,High,-36.4562,148.2632,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Green, K., 2003. Altitudinal and temporal differences in the food of foxes (Vulpes vulpes) at alpine and subalpine altitudes in the Snowy Mountains. Wildlife Research, 30(3), pp.245-253.",Green 2003 Wildlife Research,High,,High,-36.4562,148.2632,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Seebeck, J.H., 1978. Diet of the fox Vulpes vulpes in a western Victorian forest. Australian Journal of Ecology, 3(1), pp.105-108.",Seebeck 1978 Australian Journal of Ecology,High,,High,-38.37,142.48,Predation,Diet,1,no,no,,,,,
Mastacomys fuscus,Fox,NT,1,"Bubela, T.M. and Happold, D.C.D., 1993. The social organisation and mating system of an Australian subalpine rodent, the broad-toothed rat, Mastacomys fuscus Thomas. Wildlife Research, 20(4), pp.405-417.",Bubela and Happold 1993 Wildlife Research,High,,High,-36.4562,148.2632,Predation,Hunted,1,no,no,,,,,
Mesembriomys gouldii,Cat,VU,1,"Stokeld D, Fisher A, Gentles T, Hill B, Triggs B, Woinarski JCZ, Gillespie GR. 2018. What do predator diets tell us about mammal declines in Kakadu National Park? Wildlife Research 45:92-101.",Stokeld et al 2018 Wildlife Research,High,,High,-13.09,132.39,Predation,Diet,1,no,no,,,,,
Mesembriomys gouldii,Cat,VU,1,"Davies, H.F., McCarthy, M.A., Firth, R.S., Woinarski, J.C., Gillespie, G.R., Andersen, A.N., Rioli, W., Puruntatameri, J., Roberts, W., Kerinaiua, C. and Kerinauia, V., 2018. Declining populations in one of the last refuges for threatened mammal species in northern Australia. Austral Ecology, 43(5), pp.602-612.",Davies et al 2018 Austral Ecology,High,,High,-11.5,131.03,Population,Spatial,0,yes,yes,yes,yes,yes,351,no
Mesembriomys gouldii,Cat,VU,1,"Stobo-Wilson, A.M., Stokeld, D., Einoder, L.D., Davies, H.F., Fisher, A., Hill, B.M., Mahney, T., Murphy, B.P., Scroggie, M.P., Stevens, A. and Woinarski, J.C.Z., 2020. Bottom-up and top-down processes influence contemporary patterns of mammal species richness in Australia's monsoonal tropics. Biological Conservation, 247, p.108638.",Stobo-Wilson et al 2020 Biological Conservation,High,,High,-13.09,132.39,Population,Spatial,1,yes,yes,yes,yes,yes,312,no
Mesembriomys macrurus,Cat,NT,1,,,,,Moderate,,,,,,,,,,,,
Myrmecobius fasciatus,Cat,EN,1,"Friend, J.A. and Thomas, N.D., 1994. Reintroduction and the numbat recovery programme. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.189-198.",Friend and Thomas 1994 Reintroduction Biology of Australian and New Zealand Fauna,Very high,,Very high,-30.01,118.22,Predation,Hunted_reintroduced,1,no,no,,,,,
Myrmecobius fasciatus,Fox,EN,1,"Friend, J.A. and Thomas, N.D., 1994. Reintroduction and the numbat recovery programme. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.189-198.",Friend and Thomas 1994 Reintroduction Biology of Australian and New Zealand Fauna,Very high/Extreme,,Very high/Extreme,-30.01,118.22,Predation,Hunted_reintroduced,1,no,no,,,,,
Myrmecobius fasciatus,Fox,EN,1,"Friend, J.A. and Thomas, N.D., 1994. Reintroduction and the numbat recovery programme. Reintroduction Biology of Australian and New Zealand Fauna’.(Ed. M. Serena.) pp, pp.189-198.",Friend and Thomas 1994 Reintroduction Biology of Australian and New Zealand Fauna,Very high/Extreme,,Very high/Extreme,-30.01,118.22,Baiting,Baiting_temporal,1,no,yes,,,,,
Myrmecobius fasciatus,Fox,EN,1,"Friend, J.A., 1990. The numbat Myrmecobius fasciatus (Myrmecobiidae): history of decline and potential for recovery. In Proceedings of the Ecological Society of Australia (Vol. 16, pp. 369-377).",Friend 1990 Proceedings of the Ecological Society of Australia,Very high/Extreme,,Very high/Extreme,-30.01,118.22,Baiting,Baiting_temporal,1,no,yes,,,,,
Myrmecobius fasciatus,Fox,EN,1,"Friend, J.A., Page, M.J., 2017. Numbat (Myrmecobius fasciatus) Recovery Plan. Wildlife Management Program No. 60 in Department of Parks and Wildlife, Western Australia",Friend and Page 2017 Department of Parks and Wildlife,Very high/Extreme,,Very high/Extreme,-30.01,118.22,Baiting,Baiting_temporal,0,no,yes,,,,,
Myrmecobius fasciatus,Fox,EN,1,"Friend, J.A., 1990. The numbat Myrmecobius fasciatus (Myrmecobiidae): history of decline and potential for recovery. In Proceedings of the Ecological Society of Australia (Vol. 16, pp. 369-377).",Friend 1990 Proceedings of the Ecological Society of Australia,Very high/Extreme,,Very high/Extreme,-30.7428,121.4781,Population,Timing,1,no,no,,,,,
Myrmecobius fasciatus,Fox,EN,1,"Friend, J.A., 1990. The numbat Myrmecobius fasciatus (Myrmecobiidae): history of decline and potential for recovery. In Proceedings of the Ecological Society of Australia (Vol. 16, pp. 369-377).",Friend 1990 Proceedings of the Ecological Society of Australia,Very high/Extreme,,Very high/Extreme,-34.9285,138.6007,Population,Timing,0,no,no,,,,,
Notomys aquilo,Cat,EN,1,,,,,Very high,,,,,,,,,,,,
Notomys cervinus,Cat,NT,1,,,,,High,,,,,,,,,,,,
Notomys cervinus,Fox,NT,1,,,,,N/A,,,,,,,,,,,,
Notomys fuscus,Cat,VU,1,"Feit, B., Feit, A. and Letnic, M., 2019. Apex predators decouple population dynamics between mesopredators and their prey. Ecosystems, 22, pp.1606-1617.",Feit et al 2019 Ecosystems,High/Very High,,High/Very High,-27.7,140.41,Predation,Hunted,1,no,no,,,,,
Notomys fuscus,Cat,VU,1,"Vernes, K., Elliott, T.F. and Jackson, S.M., 2021. 150 years of mammal extinction and invasion at Koonchera Dune in the Lake Eyre Basin of South Australia. Biological Invasions, 23(2), pp.593-610.",Vernes et al 2021 Biological Invasions,High/Very High,,High/Very High,-26.77,139.54,Predation,Hunted,1,no,no,,,,,
Notomys fuscus,Cat,VU,1,"Vernes, K., Jackson, S.M., Elliott, T.F., Tischler, M. and Harper, A., 2021. Diets of mammalian carnivores in the deserts of north-eastern South Australia. Journal of Arid Environments, 188, p.104377.",Vernes et al 2021 Journal of Arid Environments,High/Very High,,High/Very High,-25.934,138.676,Predation,Hunted,1,no,no,,,,,
Notomys fuscus,Cat,VU,1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Gordon et al 2015 Proc B,High/Very High,,High/Very High,-27.7,140.41,Population,Spatial,1,yes,yes,yes,yes,yes,3,no
Notomys fuscus,Cat,VU,1,"Letnic, M. and Koch, F., 2010. Are dingoes a trophic regulator in arid Australia? A comparison of mammal communities on either side of the dingo fence. Austral Ecology, 35(2), pp.167-175.",Letnic and Koch 2010 Austral Ecology,High/Very High,,High/Very High,-27.7,140.41,Population,Spatial,0,yes,yes,yes,yes,yes,3,no
Notomys fuscus,Cat,VU,1,"Letnic, M., Crowther, M.S. and Koch, F., 2009. Does a top‐predator provide an endangered rodent with refuge from an invasive mesopredator?. Animal Conservation, 12(4), pp.302-312.",Letnic et al 2009 Animal Conservation,High/Very High,,High/Very High,-27.7,140.41,Population,Spatial,0,yes,yes,yes,yes,yes,3,no
Notomys fuscus,Cat,VU,1,"Pedler, R.D., Brandle, R., Read, J.L., Southgate, R., Bird, P. and Moseby, K.E., 2016. Rabbit biocontrol and landscape‐scale recovery of threatened desert mammals. Conservation Biology, 30(4), pp.774-782.",Pedler et al 2016 Conservation Biology,High/Very High,,High/Very High,-27.7,140.41,Population,Temporal,1,yes,yes,no,yes,no,,no
Notomys fuscus,Fox,VU,1,"Pedler, R.D., Brandle, R., Read, J.L., Southgate, R., Bird, P. and Moseby, K.E., 2016. Rabbit biocontrol and landscape‐scale recovery of threatened desert mammals. Conservation Biology, 30(4), pp.774-782.",Pedler et al 2016 Conservation Biology,Not assessed,,N/A,-27.7,140.41,Population,Temporal,1,yes,yes,no,yes,no,,no
Notomys fuscus,Fox,VU,1,"Letnic, M. and Dworjanyn, S.A., 2011. Does a top predator reduce the predatory impact of an invasive mesopredator on an endangered rodent?. Ecography, 34(5), pp.827-835.",Letnic and Dworjanyn 2011 Ecography,Not assessed,,N/A,-29.4817,141.04,Predation,Diet,1,no,no,,,,,
Notomys fuscus,Fox,VU,1,"Letnic, M. and Dworjanyn, S.A., 2011. Does a top predator reduce the predatory impact of an invasive mesopredator on an endangered rodent?. Ecography, 34(5), pp.827-835.",Letnic and Dworjanyn 2011 Ecography,Not assessed,,N/A,-29.4806,140.5654,Predation,Diet,1,no,no,,,,,
Notomys fuscus,Fox,VU,1,"Feit, B., Feit, A. and Letnic, M., 2019. Apex predators decouple population dynamics between mesopredators and their prey. Ecosystems, 22, pp.1606-1617.",Feit et al 2019 Ecosystems,Not assessed,,N/A,-27.7,140.41,Predation,Hunted,1,no,no,,,,,
Notomys fuscus,Fox,VU,1,"Gordon, C.E., Feit, A., Grüber, J. and Letnic, M., 2015. Mesopredator suppression by an apex predator alleviates the risk of predation perceived by small prey. Proceedings of the Royal Society B: Biological Sciences, 282(1802), p.20142870.",Gordon et al 2015 Proc B,Not assessed,,N/A,-27.7,140.41,Population,Spatial,1,yes,yes,yes,yes,yes,3,no
Notomys fuscus,Fox,VU,1,"Letnic, M. and Dworjanyn, S.A., 2011. Does a top predator reduce the predatory impact of an invasive mesopredator on an endangered rodent?. Ecography, 34(5), pp.827-835.",Letnic and Dworjanyn 2011 Ecography,Not assessed,,N/A,-27.7,140.41,Population,Spatial,1,yes,yes,yes,yes,yes,3,no
Notomys fuscus,Fox,VU,1,"Letnic, M. and Koch, F., 2010. Are dingoes a trophic regulator in arid Australia? A comparison of mammal communities on either side of the dingo fence. Austral Ecology, 35(2), pp.167-175.",Letic and Koch 2010 Austral Ecology,Not assessed,,N/A,-27.7,140.41,Population,Spatial,0,yes,yes,yes,yes,yes,3,no
Notomys fuscus,Fox,VU,1,"Letnic, M., Crowther, M.S. and Koch, F., 2009. Does a top‐predator provide an endangered rodent with refuge from an invasive mesopredator?. Animal Conservation, 12(4), pp.302-312.",Letnic et al 2009 Animal Conservation,Not assessed,,N/A,-27.7,140.41,Population,Spatial,1,yes,yes,yes,yes,yes,3,no
Onychogalea fraenata,Cat,VU,1,"Hayward, M.W., L'Hotellier, F., O'Connor, T., Ward-Fear, G., Cathcart, J., Cathcart, T., Sephens, J., Stephens, J., Herman, K. and Legge, S., 2012, January. Reintroduction of bridled nailtail wallabies beyond fences at Scotia Sanctuary-Phase 1. In Proceedings of the Linnean Society of New South Wales (Vol. 134).",Hayward et al 2012 Proceedings of the Linnean Society of New South Wales,Very high,,Very high,-33.29,141.08,Predation,Hunted_reintroduced,0,no,no,,,,,
Onychogalea fraenata,Cat,VU,1,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Augusteyn et al 2022 Wildlife Research,Very high,,Very high,-23.52,149.219,Predation,Hunted,1,no,no,,,,,
