Species,Predator,IUCN_Red_List_status,Accused_by_IUCN_Red_List,Reference,Reference_ID,Cat_EPBC_threat_rating,Fox_EPBC_threat_rating_if_no_cat,Threat_rating_standardized,Latitude,Longitude,evidence_cat,evidence_fine_scale,direction,Is_there_predator_population_data,Is_there_prey_population_data,Control_site_or_spatial_variation,Confounders_or_alternatives,Sample_size_greater_than_1,Sample_size,BACI
Bettongia penicillata,Cat,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-33.163,117.05,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Martin, S., Ball, S. and Peeters, P., 2006. Reintroduction of the brush-tailed Bettong (Bettongia penicillata ogilbyi) into Lincoln National Park.Program review from September 1999 to July 2004. Department for Environment and Heritage, Government of South Australia.",Martin et al 2006 Report Department for Environment and Heritage,High/Very High,,High/Very High,-34.87,135.88,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Priddel, D. and Wheeler, R., 2004. An experimental translocation of brush-tailed bettongs (Bettongia penicillata) to western New South Wales. Wildlife Research, 31(4), pp.421-432.",Priddel and Wheeler 2004 Wildlife Research,High/Very High,,High/Very High,-32.37,145.34,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Wheeler, R. and Priddel, D., 2009. The impact of introduced predators on two threatened prey species: A case study from western New South Wales. Ecological Management & Restoration, 10, pp.S117-S123.",Wheeler and Priddel 2009 Ecological Management and Restoration,High/Very High,,High/Very High,-32.37,145.34,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"James, H., Acharya, A.B., Taylor, J.A. and Freak, M.J., 2002. A case of bitten bettongs. The Journal of Forensic Odonto-Stomatology-JFOS, 20(1), pp.10-12.",James et al 2002 The Journal of Forensic Odonto-Stomatology,High/Very High,,High/Very High,-34.87,135.88,Predation,Hunted,1,no,no,,,,,
Bettongia penicillata,Cat,CR,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,High/Very High,,High/Very High,-34.37,116.28,Population,Temporal,0,yes,yes,no,no,no,1,no
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A.E., Macmahon, B. and Lawson, J., 2014. The diet of foxes (Vulpes vulpes) in fragmented Wheatbelt reserves in Western Australia: implications for woylies (Bettongia penicillata) and other native fauna. Conservation Science Western Australia.",Marlow et al 2014 Conservation Science Western Australia,High/Very High,,High/Very High,-32.55,117.33,Predation,Diet,0,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A.E., Macmahon, B. and Lawson, J., 2014. The diet of foxes (Vulpes vulpes) in fragmented Wheatbelt reserves in Western Australia: implications for woylies (Bettongia penicillata) and other native fauna. Conservation Science Western Australia.",Marlow et al 2014 Conservation Science Western Australia,High/Very High,,High/Very High,-32.78,116.97,Predation,Diet,1,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A.E., Macmahon, B. and Lawson, J., 2014. The diet of foxes (Vulpes vulpes) in fragmented Wheatbelt reserves in Western Australia: implications for woylies (Bettongia penicillata) and other native fauna. Conservation Science Western Australia.",Marlow et al 2014 Conservation Science Western Australia,High/Very High,,High/Very High,-33.164,117.08,Predation,Diet,0,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A.E., Macmahon, B. and Lawson, J., 2014. The diet of foxes (Vulpes vulpes) in fragmented Wheatbelt reserves in Western Australia: implications for woylies (Bettongia penicillata) and other native fauna. Conservation Science Western Australia.",Marlow et al 2014 Conservation Science Western Australia,High/Very High,,High/Very High,-33.163,117.05,Predation,Diet,0,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-32.55,117.33,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-32.78,116.97,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-33.164,117.08,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Marlow, N.J., Thomas, N.D., Williams, A.A., Macmahon, B., Lawson, J., Hitchen, Y., Angus, J. and Berry, O., 2015. Cats (Felis catus) are more abundant and are the dominant predator of woylies (Bettongia penicillata) after sustained fox (Vulpes vulpes) control. Australian Journal of Zoology, 63(1), pp.18-27.",Marlow et al 2015 Australian Journal of Zoology,High/Very High,,High/Very High,-33.163,117.05,Predation,Hunted_reintroduced,1,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Martin, S., Ball, S. and Peeters, P., 2006. Reintroduction of the brush-tailed Bettong (Bettongia penicillata ogilbyi) into Lincoln National Park.Program review from September 1999 to July 2004. Department for Environment and Heritage, Government of South Australia.",Martin et al 2006 Report Department for Environment and Heritage,High/Very High,,High/Very High,-34.87,135.88,Predation,Hunted_reintroduced,0,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Priddel, D. and Wheeler, R., 2004. An experimental translocation of brush-tailed bettongs (Bettongia penicillata) to western New South Wales. Wildlife Research, 31(4), pp.421-432.",Priddel and Wheeler 2004 Wildlife Research,High/Very High,,High/Very High,-32.37,145.34,Predation,Hunted_reintroduced,0,no,no,,,,,
Bettongia penicillata,Fox,CR,1,"Kinnear, J.E., Sumner, N.R. and Onus, M.L., 2002. The red fox in Australia—an exotic predator turned biocontrol agent. Biological Conservation, 108(3), pp.335-359.",Kinnear et al 2002 Biological Conservation,High/Very High,,High/Very High,-32.55,117.33,Baiting,Baiting_temporal,1,no,yes,,,,,
Bettongia penicillata,Fox,CR,1,"Orell, P., 2004. Fauna monitoring and staff training: Western Shield review – February 2003. Conservation Science Western Australia 5(2), 51-95.",Orell 2004 Conservation Science Western Australia,High/Very High,,High/Very High,-32.77,116.97,Baiting,Baiting_temporal,0,no,yes,,,,,
Bettongia penicillata,Fox,CR,1,"Orell, P., 2004. Fauna monitoring and staff training: Western Shield review – February 2003. Conservation Science Western Australia 5(2), 51-95.",Orell 2004 Conservation Science Western Australia,High/Very High,,High/Very High,-32.77,116.97,Baiting,Baiting_temporal,1,no,yes,,,,,
Bettongia penicillata,Fox,CR,1,"Wayne, A.F., Maxwell, M.A., Ward, C.G., Wayne, J.C., Vellios, C.V. and Wilson, I.J., 2017. Recoveries and cascading declines of native mammals associated with control of an introduced predator. Journal of Mammalogy, 98(2), pp.489-501.",Wayne et al 2017 Journal of Mammalogy,High/Very High,,High/Very High,-34.37,116.28,Baiting,Baiting_temporal,0,no,yes,,,,,
Bettongia penicillata,Fox,CR,1,"Yeatman, G.J., Wayne, A.F., Mills, H.R. and Prince, J., 2016. Temporal patterns in the abundance of a critically endangered marsupial relates to disturbance by roads and agriculture. PLoS One, 11(8), p.e0160790.",Yeatman et al 2016 PloS One,High/Very High,,High/Very High,-34.37,116.28,Baiting,Baiting_temporal,1,no,yes,,,,,
Bettongia penicillata,Fox,CR,1,"Geary, W.L., Tulloch, A.I., Ritchie, E.G., Doherty, T.S., Nimmo, D.G., Maxwell, M.A. and Wayne, A.F., 2023. Identifying historical and future global change drivers that place species recovery at risk. Global Change Biology, 29(11), pp.2953-2967.",Geary et al 2023 Global Change Biology,High/Very High,,High/Very High,-34.37,116.28,Baiting,Baiting_spatial,0,no,yes,,,,,
Bettongia penicillata,Fox,CR,1,"Wayne, A.F., Liddelow, G.L. and Williams, M.R., 2011. FORESTCHECK: terrestrial vertebrate associations with fox control and silviculture in jarrah (Eucalyptus marginata) forest. Australian Forestry, 74(4), pp.336-349.",Wayne et al 2011 Australian Forestry,High/Very High,,High/Very High,-34.37,116.28,Baiting,Baiting_spatial,1,no,yes,,,,,
Bettongia penicillata,Fox,CR,1,"Short, J. 1998. The extinction of rat-kangaroos (Marsupialia: Potoroidae) in New South Wales, Australia. Biological Conservation 86: 365-377.",Short 1998 Biological Conservation,High/Very High,,High/Very High,-31.25,146.92,Population,Timing,1,yes,yes,no,no,yes,-999,no
