Study_ID,Reference,Prey_Species,Study_site,Lat,Long,Predator_Species,Correlation,Site,Site_note,Time,Time_note,Predator,Prey,Predator_Units,Prey_Units,Data_source,Inclusion_problem,Comments
ES_5,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2014,,0.2085,0.382765,Tracking,Trapping,Figure 3A,,"Averaged to year, predator and prey"
ES_5,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2015,,0.232,0.43504,Tracking,Trapping,Figure 3A,,Averaged to year
ES_5,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2016,,0.2025,0.40709,Tracking,Trapping,Figure 3A,,Averaged to year
ES_6,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2012,,1.7455,123.81,Camera traps,Trapping,Figure 3B,,Averaged to year
ES_6,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2013,,2.24025,147.917,Camera traps,Trapping,Figure 3B,,Averaged to year
ES_6,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2014,,2.345166667,177.679,Camera traps,Trapping,Figure 3B,,Averaged to year
ES_6,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2015,,1.609,168.155,Camera traps,Trapping,Figure 3B,,Averaged to year
ES_7,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2012,,1.7455,349,Camera traps,Spotlighting,Figure 3B,,"Averaged to year, sample size too small to generate effect size"
ES_7,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2014,,2.345166667,349,Camera traps,Spotlighting,Figure 3B,,"Averaged to year, sample size too small to generate effect size"
ES_7,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2015,,1.609,176,Camera traps,Spotlighting,Figure 3B,,"Averaged to year, sample size too small to generate effect size"
ES_8,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2012,,1.7455,0.07246,Camera traps,"Trapping-young, percent <3.5kg",Figure 3B,,Averaged to year
ES_8,"Augusteyn, J., McCarthy, M.A., Robley, A., Pople, A., Nolan, B., Hemson, G., Melzer, R., Richards, S. and Dinwoodie, A., 2022. Bringing back the endangered bridled nail-tailed wallaby at Taunton National Park (Scientific) through effective predator control. Wildlife Research, 49(4), pp.382-398.",Onychogalea fraenata,Taunton National Park,-23.521,149.219,Cat,Temporal,,,2013,,2.24025,0.18556,Camera traps,"Trapping-young, percent <3.5kg",Figure 3B,,Averaged to year
