record_id,scientificName,Species_Status,Extinction.extirpation,Record_certainty,Reference,Quote,Year_last_record_min,Year_last_record_max,Place_last_record,Coordinates_used_for_centre_point,Coordinates_accuracy,Abbot_fox,buffer_distance,centroid_Longitude,centroid_Latitude,predator,max_arrival,min_arrival,attributed_to,min_years_since,max_years_since
pop_108,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1958,1958,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1920,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,68,128
pop_109,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1946,1946,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1935,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,56,116
pop_110,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1955,1955,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1930,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,65,125
pop_111,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1958,1958,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1930,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,68,128
pop_112,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1966,1966,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1930,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,76,136
pop_113,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1934,1934,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1925,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,44,104
pop_114,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1935,1935,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1927,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,45,105
pop_115,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1917,1917,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1925,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,27,87
pop_116,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1920,1920,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1926,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,30,90
pop_117,Macrotis lagotis,Extant,Region,Confirmed,"Abbott I. 2001. The Bilby Macrotis lagotis (Marsupialia: Peramelidae) in south-western Australia: original range limits, subsequent decline, and presumed regional extinction. RECORDS-WESTERN AUSTRALIAN MUSEUM 20:271-306.",Figure 4,1922,1922,Western Australia,"Fox-NA, Cat-State","Fox-NA, Cat-State",1925,Regional polygon,122.2867347,-25.33596911,Cats,1890,1830,Cats,32,92
