Study_ID,Reference,Prey_Species,Predator_Species,Correlation,Site,Lat,Long,n,r,yi,vi
ES_27,"Fancourt, B.A., Hawkins, C.E., Cameron, E.Z., Jones, M.E. and Nicol, S.C., 2015. Devil declines and catastrophic cascades: is mesopredator release of feral cats inhibiting recovery of the eastern quoll?. PLoS One, 10(3), p.e0119303.",Dasyurus viverrinus,Cat,Spatial,,-42.08,146.81,12,-0.332807489,-0.345982131,0.111111111
ES_28,"Letnic, M., M. S. Crowther, and F. Koch. Does a top‐predator provide an endangered rodent with refuge from an invasive mesopredator?. Animal Conservation 12.4 (2009): 302-312",Notomys fuscus,Fox,Spatial,,-27.7,140.41,6,-0.397972016,-0.421236988,0.333333333
ES_29,"Letnic, M., M. S. Crowther, and F. Koch. Does a top‐predator provide an endangered rodent with refuge from an invasive mesopredator?. Animal Conservation 12.4 (2009): 302-312",Notomys fuscus,Cat,Spatial,,-27.7,140.41,6,0.88748879,1.409974838,0.333333333
ES_30,"Nalliah, R., Sitters, H., Smith, A., & Di Stefano, J. (2021). Untangling the influences of fire, habitat and introduced predators on the endangered heath mouse. Animal Conservation. doi:10.1111/acv.12731",Pseudomys shortridgei,Fox,Spatial,,-37.21,142.398,21,-0.484538681,-0.528898542,0.055555556
ES_31,"Moseby, K.E., McGregor, H., Hill, B.M. and Read, J.L., 2020. Exploring the internal and external wildlife gradients created by conservation fences. Conservation Biology, 34(1), pp.220-231.",Pseudomys australis,Cat,Spatial,,-30.29,136.53,16,-0.394522186,-0.417144597,0.076923077
ES_32,"Catling, P.C. and Burt, R.J., 1997. Studies of the ground-dwelling mammals of eucalypt forests in north-eastern New South Wales: the species, their abundance and distribution. Wildlife Research, 24(1), pp.1-19.",Dasyurus maculatus,Cat,Spatial,,-29.6815,152.9381,13,0.491519737,0.538062218,0.1
ES_37,"Catling, P.C. and Burt, R.J., 1997. Studies of the ground-dwelling mammals of eucalypt forests in north-eastern New South Wales: the species, their abundance and distribution. Wildlife Research, 24(1), pp.1-19.",Dasyurus maculatus,Fox,Spatial,,-29.6815,152.9381,8,0.247059414,0.252278634,0.2
ES_39,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Potorous tridactylus,Fox,Spatial,,-37.9078,141.515,4,-0.734040173,-0.937432028,1
ES_40,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Potorous tridactylus,Cat,Spatial,,-37.9078,141.515,4,0.98892099,2.595147598,1
ES_41,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Potorous tridactylus,Fox,Spatial,,-37.9078,141.515,6,-0.871635378,-1.339846519,0.333333333
ES_42,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Potorous tridactylus,Fox,Spatial,,-38.7912,143.5419,7,-0.651384482,-0.777699824,0.25
ES_43,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Potorous tridactylus,Cat,Spatial,,-37.9078,141.515,6,-0.161521176,-0.162948229,0.333333333
ES_44,"Rees, M.W., Wintle, B.A., Robley, A., Pascoe, J.H., Pla, M.L., Birnbaum, E.K. and Hradsky, B.A., 2024. Fox control and fire influence the occurrence of invasive predators and threatened native prey. Biological Invasions, 26(3), pp.685-703.",Potorous tridactylus,Cat,Spatial,,-38.7912,143.5419,7,0.372643768,0.391489692,0.25
